created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Fri Aug 12 02:34:31 +0000 2022,1557918422159093760,"@pwettyrbbt @Askrlfess Kata gue dia sama-sama pansos jalur kematian kakaknya kek mayang. Bedanya nih fuji anak hitz dan good looking, mayang versi biasa aja dan kebetulan bapacknya aneh.",36,31,105,4116,in,1353298845803835393,1557896988619730944,cupvlatte,https://twitter.com/cupvlatte/status/1557918422159093760,"pwettyrbbt, Askrlfess"
Fri Aug 12 01:12:34 +0000 2022,1557897799920140289,"@Askrlfess gue jg kaget sm jawabannya, bisa”nya ngatain lawan mainnya yg bisa dibilang dia lebih senior dripda fuji loh, pengalaman actingnya lebih banyak kan?",2,15,85,3841,in,1072103383056572416,1557896988619730944,pinkoceanay,https://twitter.com/pinkoceanay/status/1557897799920140289,Askrlfess
Thu Aug 11 19:32:00 +0000 2022,1557812091679039488,tiny fuji https://t.co/Wuz5rxt43I,0,1,31,264,in,22831992,1557812091679039488,EiffelArt,https://twitter.com/EiffelArt/status/1557812091679039488,
Sat Aug 06 23:14:19 +0000 2022,1556056102843822080,Mountain Fuji 🏔 https://t.co/sfLeaWiulQ,30,23,673,5557,in,1444760227576881156,1556056102843822080,HowThingsWork_,https://twitter.com/HowThingsWork_/status/1556056102843822080,
Sat Aug 06 09:05:46 +0000 2022,1555842559100047360,Mountain Fuji 🏔 https://t.co/BMQURIak8s,29,20,680,5455,in,1551242821142810625,1555842559100047360,Hana_b30,https://twitter.com/Hana_b30/status/1555842559100047360,
Fri Aug 05 10:49:48 +0000 2022,1555506351371014144,#DonBelle in fuji film 🎞 https://t.co/WrXsBvo3eb,28,1,608,3293,in,1551144833376342017,1555506351371014144,lesyeuxdb,https://twitter.com/lesyeuxdb/status/1555506351371014144,
Sun Jul 31 09:18:32 +0000 2022,1553671442369167361,@Askrlfess Vibes nya keq liat fuji pas debut acting,3,5,17,707,in,867352161948114945,1553670792868610050,jung_jamal1,https://twitter.com/jung_jamal1/status/1553671442369167361,Askrlfess
Sat Jul 23 06:05:00 +0000 2022,1550723634943213573,"Mount Fuji by Takeuchi Seiho, 1893  #nihonga https://t.co/RWdEkOjRSO",1,3,41,290,in,910305551220826113,1550723634943213573,JapanTraCul,https://twitter.com/JapanTraCul/status/1550723634943213573,
Tue Jul 19 23:36:35 +0000 2022,1549538723636838400,@azozer93i @MrKrabsleRetour @lucille_lrnt il a pris d’la Fuji ptn,0,3,0,413,fr,1013543367937024000,1549150995929784350,alleyezonamir,https://twitter.com/alleyezonamir/status/1549538723636838400,"azozer93i, MrKrabsleRetour, lucille_lrnt"
Fri Jul 15 04:23:18 +0000 2022,1547798940065484808,stop bilang gw mirip fuji tp kalo gunung fuji hayuk papale sih bismilah lpdp tokyo daigaku,12,19,25,828,in,1125520077984419840,1547798940065484808,pengwinningg,https://twitter.com/pengwinningg/status/1547798940065484808,
Thu Jul 14 04:42:07 +0000 2022,1547441286604640257,Mt Fuji  📷Riki https://t.co/dY3nBDBkLt,11,6,391,1888,in,820978401838329856,1547441286604640257,Soy_Luchick,https://twitter.com/Soy_Luchick/status/1547441286604640257,
Sat Jul 09 13:50:24 +0000 2022,1545767325512900609,"@tanyakanrl aneth sama naura setau gue penyanyi, fuji ini apa? nyanyi juga kah? gue serius nanya",2,4,3,616,in,1234420430296899584,1545764718866235393,gyuwonnist,https://twitter.com/gyuwonnist/status/1545767325512900609,tanyakanrl
Sat Jul 09 13:43:49 +0000 2022,1545765670495059973,"@tanyakanrl Fans garis keras Fuji emang serem-serem, tapi hatersnya juga gak kalah serem wkwkwk atut",2,9,51,3408,in,1144077885465980928,1545764718866235393,billie9eulis,https://twitter.com/billie9eulis/status/1545765670495059973,tanyakanrl
Sat Jul 09 03:04:09 +0000 2022,1545604694336098305,"@daybokkie @unmagnetism Bukan fans jg. Dgn kondisi skrg punya anak dan ponakan seumuran gala. Sakit hati sih liat postingan ky gini. Kaya mana ada yg mau liat balita,ini lg ponakan sendiri harus tumbuh tanpa org tua? Kenapa ya gaada yg mikir kalo fuji jd terkenal banyak kerjaan sana sini mungkin rezeki-",1,1,6,677,in,1153323619516239875,1545413199654035456,emillialnya2,https://twitter.com/emillialnya2/status/1545604694336098305,"daybokkie, unmagnetism"
Sat Jul 09 00:49:14 +0000 2022,1545570740409610240,"@unmagnetism Gue bukan fans fuji, tapi kebayang gak sih sakit hatinya fuji pas baca title beritanya kek gitu. Siapa juga yang mau kehilangan kakak sama kakak iparnya coba. Rezeki udah ada yang ngatur. Netizen julid amat dah heran.",2,14,46,1851,in,1299380634020847616,1545413199654035456,daybokkie,https://twitter.com/daybokkie/status/1545570740409610240,unmagnetism
Fri Jul 08 23:44:07 +0000 2022,1545554354492416005,@unmagnetism padahal yg bikin si fuji terkenal jga netijen,1,5,4,713,in,1059776739071512576,1545413199654035456,Jaring_UburUbur,https://twitter.com/Jaring_UburUbur/status/1545554354492416005,unmagnetism
